id;statut;date_soumission;commentaire
1;EN_ATTENTE;2025-05-27T12:18:37;devant diététiste
2;VALIDE_MANUEL;2025-05-28T06:12:31;trouver paf dès que
3;VALIDE_MANUEL;2025-05-28T04:06:47;comme
4;VALIDE_MANUEL;2025-05-27T20:28:53;complètement
5;EN_COURS_VERIF;2025-05-27T10:16:18;creuser blablabla
6;EN_ATTENTE;2025-05-28T03:21:53;pratiquer derechef cot cot
7;VALIDE_AUTO;2025-05-27T16:21:56;vérifier foule hors de
8;VALIDE_MANUEL;2025-05-28T08:45:19;placide
9;VALIDE_AUTO;2025-05-27T18:43:06;corps enseignant via
10;VALIDE_MANUEL;2025-05-28T06:44:02;échapper de façon à snob
