id;etablissement;specialisation;niveau;commentaire;date_debut;date_fin;candidat_id
1;avant-hier;prout;AUTRE;touchant;2025-05-28T01:25:19;2025-05-27T16:56:13;1
2;pourvu que vouh;badaboum rapide après;LICENCE;ça rallier;2025-05-27T10:09:50;2025-05-27T07:46:32;2
3;gratis;pin-pon population du Québec;AUTRE;de la part de grâce à au dépens de;2025-05-27T09:12:08;2025-05-28T01:12:01;3
4;via hi intrépide;novice à travers chef de cuisine;BACCALAUREAT;de façon que;2025-05-27T11:34:40;2025-05-27T11:11:48;4
5;candide tisser ouch;sitôt que;DOCTORAT;membre à vie secours de;2025-05-27T19:11:29;2025-05-27T21:55:53;5
6;pendant que prout hôte;enfermer;LICENCE;ajouter;2025-05-27T10:03:12;2025-05-28T03:52:49;6
7;parce que touchant;actionnaire;BACCALAUREAT;aux environs de;2025-05-28T03:58:38;2025-05-27T11:45:37;7
8;à raison de carrément;tandis que;MASTER;hystérique toujours forcer;2025-05-27T18:07:00;2025-05-28T02:46:40;8
9;autrefois intéresser sans que;précipiter;MASTER;gens;2025-05-27T11:53:42;2025-05-27T22:51:34;9
10;rectorat;absolument;DOCTORAT;premièrement;2025-05-27T23:12:14;2025-05-27T16:33:03;10
