id;date_rdv;motif;statut;commentaire;candidat_id
1;2025-06-18T01:03:00;dedans toujours;EN_ATTENTE;aigre;1
2;2025-06-18T05:31:29;adorable large chez;EN_ATTENTE;constater équipe de recherche;2
3;2025-06-17T18:42:35;de peur de toc-toc étant donné que;REFUSE;dessus quand;3
4;2025-06-17T22:49:08;trop longtemps spécialiste;EN_ATTENTE;au-dehors;4
5;2025-06-18T12:05:17;environ entre-temps;CONFIRME;tchou tchouu du moment que;5
6;2025-06-18T06:34:56;au-devant vlan;CONFIRME;mieux;6
7;2025-06-18T02:39:42;où;EN_ATTENTE;sédentaire équipe de recherche;7
8;2025-06-17T20:44:00;assigner vraisemblablement vide;EN_ATTENTE;accompagner;8
9;2025-06-17T15:22:42;oh en dépit de;CONFIRME;moderne membre de l’équipe;9
10;2025-06-18T07:41:04;après-demain;REFUSE;chez large;10
